Weight	Self Weight	Symbol Names
1.37 ms   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
1.37 ms   0.0%	1.37 ms	                     _platform_memmove
433.21 µs   0.0%	0 s	                   uuid_is_null
433.21 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
433.21 µs   0.0%	433.21 µs	                     uuid_is_null
279.38 µs   0.0%	279.38 µs	                   _os_log_impl_flatten_and_send
118.12 µs   0.0%	0 s	                   DYLD-STUB$$thread_stack_async_pcs
118.12 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
118.12 µs   0.0%	118.12 µs	                     DYLD-STUB$$thread_stack_async_pcs
113.25 µs   0.0%	0 s	                   DYLD-STUB$$memcpy
113.25 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
113.25 µs   0.0%	113.25 µs	                     DYLD-STUB$$memcpy
78.33 µs   0.0%	0 s	                   DYLD-STUB$$uuid_copy
78.33 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
78.33 µs   0.0%	78.33 µs	                     DYLD-STUB$$uuid_copy
76.33 µs   0.0%	0 s	                   DYLD-STUB$$uuid_is_null
76.33 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
76.33 µs   0.0%	76.33 µs	                     DYLD-STUB$$uuid_is_null
29.21 µs   0.0%	0 s	                  voucher_activity_trace_v_2
29.21 µs   0.0%	29.21 µs	                   voucher_activity_trace_v_2
123.12 µs   0.0%	0 s	                 _os_log_impl_flatten_and_send
69.58 µs   0.0%	0 s	                  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
69.58 µs   0.0%	69.58 µs	                   _os_log_impl_flatten_and_send
53.54 µs   0.0%	53.54 µs	                  _os_log_impl_flatten_and_send
59.00 µs   0.0%	0 s	                 DYLD-STUB$$__error
59.00 µs   0.0%	0 s	                  completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
59.00 µs   0.0%	59.00 µs	                   DYLD-STUB$$__error
5.07 ms   0.0%	0 s	                os_signpost_id_make_with_pointer
5.00 ms   0.0%	5.00 ms	                 os_signpost_id_make_with_pointer
70.21 µs   0.0%	0 s	                 os_signpost_enabled
70.21 µs   0.0%	70.21 µs	                  os_signpost_enabled
5.00 ms   0.0%	0 s	                os_signpost_enabled
5.00 ms   0.0%	0 s	                 completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                  os_signpost_enabled
219.50 µs   0.0%	0 s	                __os_signpost_emit_impl
219.50 µs   0.0%	219.50 µs	                 __os_signpost_emit_impl
142.88 µs   0.0%	142.88 µs	                swift::concurrency::trace::task_status_changed(swift::AsyncTask*, unsigned char, bool, bool, bool, bool, bool)
150.00 µs   0.0%	150.00 µs	               withStatusRecordLock(swift::AsyncTask*, swift::ActiveTaskStatus, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)
113.92 µs   0.0%	0 s	               swift::AsyncTask::getTaskId()
113.92 µs   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
113.92 µs   0.0%	113.92 µs	                 swift::AsyncTask::getTaskId()
69.83 µs   0.0%	0 s	               _os_signpost_emit_with_name_impl
69.83 µs   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
69.83 µs   0.0%	69.83 µs	                 _os_signpost_emit_with_name_impl
243.12 µs   0.0%	0 s	              void __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>::callback_fn<void withStatusRecordLock<swift_task_hasTaskGroupStatusRecordImpl()::$_0>(swift::AsyncTask*, swift_task_hasTaskGroupStatusRecordImpl()::$_0&&, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)::'lambda'(swift::ActiveTaskStatus)>(long, swift::ActiveTaskStatus)
243.12 µs   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
